km;pts;;;;
11636,00;0,00;;;;
369,00;3902,00;;;;
1758,00;1538,00;;;;
1044,00;2482,00;;;;
292,00;4111,00;;;;
234,00;4273,00;;;;
9539,00;8,00;;;;
3975,00;348,00;;;;
291,00;4114,00;;;;
1506,00;1821,00;;;;
4,00;4984,00;;;;
826,00;2873,00;;;;
307,00;4070,00;;;;
2094,00;1228,00;;;;
4720,00;0,00;;;;
17,00;4941,00;;;;
614,00;3313,00;;;;
6848,00;51,00;;;;
1522,00;1802,00;;;;
935,00;2671,00;;;;
1340,00;2036,00;;;;
3431,00;501,00;;;;
278,00;4150,00;;;;
6830,00;51,00;;;;
353,00;3944,00;;;;
570,00;3412,00;;;;
1653,00;1650,00;;;;
700,00;3126,00;;;;
113,00;4633,00;;;;
357,00;3934,00;;;;
11,00;4963,00;;;;
119,00;4615,00;;;;
10365,00;5,00;;;;
330,00;4006,00;;;;
567,00;3418,00;;;;
11,00;4961,00;;;;
452,00;3691,00;;;;
610,00;3321,00;;;;
657,00;3218,00;;;;
432,00;3742,00;;;;
2355,00;1031,00;;;;
3526,00;470,00;;;;
950,00;2643,00;;;;
1,00;4994,00;;;;
948,00;2648,00;;;;
244,00;4245,00;;;;
272,00;4167,00;;;;
393,00;3842,00;;;;
694,00;3139,00;;;;
573,00;3404,00;;;;
104,00;4662,00;;;;
289,00;4118,00;;;;
258,00;4204,00;;;;
226,00;4296,00;;;;
38,00;4872,00;;;;
1478,00;1856,00;;;;
269,00;4175,00;;;;
44,00;4852,00;;;;
3933,00;358,00;;;;
2694,00;821,00;;;;
860,00;2808,00;;;;
699,00;3129,00;;;;
506,00;3559,00;;;;
1374,00;1990,00;;;;
1944,00;1358,00;;;;
870,00;2790,00;;;;
447,00;3705,00;;;;
78,00;4744,00;;;;
544,00;3471,00;;;;
167,00;4469,00;;;;
209,00;4345,00;;;;
770,00;2982,00;;;;
699,00;3129,00;;;;
268,00;4175,00;;;;
2242,00;1112,00;;;;
1513,00;1812,00;;;;
2166,00;1170,00;;;;
16993,00;0,00;;;;
750,00;3024,00;;;;
698,00;3130,00;;;;
7343,00;0,00;;;;
338,00;3985,00;;;;
13,00;4954,00;;;;
13,00;4954,00;;;;
1662,00;1640,00;;;;
192,00;4395,00;;;;
276,00;4155,00;;;;
456,00;3681,00;;;;
2198,00;1146,00;;;;
1181,00;2264,00;;;;
458,00;3678,00;;;;
297,00;4096,00;;;;
2744,00;794,00;;;;
3,00;4989,00;;;;
227,00;4293,00;;;;
15071,00;0,00;;;;
73,00;4758,00;;;;
52,00;4829,00;;;;
289,00;4119,00;;;;
156,00;4501,00;;;;
0,72;4998,00;;;;
686,00;3155,00;;;;
2175,00;1163,00;;;;
210,00;4343,00;;;;
7816,00;26,00;;;;
2586,00;883,00;;;;
506,00;3561,00;;;;
861,00;2806,00;;;;
2095,00;1227,00;;;;
202,00;4366,00;;;;
1385,00;1975,00;;;;
155,00;4505,00;;;;
4910,00;186,00;;;;
2416,00;989,00;;;;
70,00;4769,00;;;;
425,00;3760,00;;;;
5185,00;155,00;;;;
2358,00;1029,00;;;;
3530,00;469,00;;;;
214,00;4331,00;;;;
3329,00;537,00;;;;
187,00;4409,00;;;;
15104,00;0,00;;;;
21,00;4928,00;;;;
194,00;4388,00;;;;
11781,00;2,00;;;;
1708,00;1591,00;;;;
1651,00;1652,00;;;;
28,00;4907,00;;;;
590,00;3366,00;;;;
28,00;4905,00;;;;
6703,00;56,00;;;;
364,00;3917,00;;;;
249,00;4231,00;;;;
741,00;3042,00;;;;
1054,00;2465,00;;;;
250,00;4228,00;;;;
26,00;4913,00;;;;
410,00;3796,00;;;;
3393,00;514,00;;;;
2044,00;1270,00;;;;
698,00;3130,00;;;;
306,00;4072,00;;;;
1741,00;1556,00;;;;
3027,00;657,00;;;;
1901,00;1397,00;;;;
1593,00;1718,00;;;;
161,00;4488,00;;;;
977,00;2597,00;;;;
244,00;4245,00;;;;
