Р1;Р2;0;1;2;3
пнрю;ъ;0,985396;1;0,907763;0,964643
гюйпшрэ;ъ;1;0,683423;0,646918;0,70377
ъ;вюярши;1;0,738339;0,615472;0,57281
ъ;онялнрперэ;0,538462;1;0,522428;0,532808
ъ;янцкюямши;1;0,683344;0;0
ъ;сдхбкемхе;0;0;1;0
яюлши;ашрэ;0,661161;1;0,891071;0,778125
унрерэ;щрнр;1;0,870893;0,904323;0,820749
йпюимхи;лепю;1;0;0;0
ъ;йпнбэ;0,689918;0,831325;1;0,902346
хцпюрэ;ъ;0,90796;1;0,813433;0,790423
унрерэ;яйюгюрэ;1;0,329271;0,337558;0,304899
еярэ;с;0;1;0;0
декюрэ;ъ;1;0,961681;0,761106;0,73129
ъ;мюйнмеж;1;0,622378;0,556712;0,558247
ашрэ;рюйни;1;0,571124;0,62862;0,57879
бяъйхи;ъ;0;0,962525;1;0,81854
ъ;ямювюкю;1;0,511343;0,493864;0,502417
йнлмюрю;б;1;0;0;0
дбю;ашрэ;0;0;1;0
цксоши;ъ;0;0,887122;1;0,987281
бнопня;щрнр;1;0;0;0
ябни;х;0;1;0;0
гкни;ъ;0;1;0,951465;0
яйюгюрэ;ашрэ;0,31691;0,620117;0,968513;1
юу;ъ;0;1;0,85216;0,907807
опхбеярх;ъ;1;0;0;0
онянк;ъ;0;0,794622;1;0,686138
рнвмши;ъ;0,991778;0,905247;1;0,983555
ъ;янаярбеммши;0,742554;0,916361;1;0,972256
бхд;хлерэ;0;1;0;0
ашрэ;йнцдю;0;1;0;0
онмърмши;ъ;0;1;0;0
ябни;дерэ;1;0;0;0
ъ;оепед;1;0;0;0
ъ;опнярхрэ;1;0,63437;0,638815;0,537778
сйюгюрэ;ъ;1;0;0;0
бяе;ябни;1;0,579882;0,865726;0,797906
дебнвйю;ъ;0,611514;0,866473;1;0,994678
цнкнбю;ашрэ;0;0;0;1
янм;ъ;0,807196;0,879837;1;0,997284
яеаъ;ашрэ;0;0,801194;0,891831;1
кньюдэ;ъ;0;0;1;0
