,0,3,6,9,12,15,18,21
126,21,16,"19,3",28,"30,7","32,3","31,7","25,5"
127,18,"12,4","17,5","27,4","31,8","32,7","31,7","25,4"
128,"16,9","15,8","14,8",25,"28,8","30,4","29,6",23
129,19,"18,8","17,8","25,8","27,7","29,2",28,"23,6"
130,"21,3","14,8","20,6","27,2","28,5","31,2","30,4",24
131,"17,8","15,4",19,26,"30,6","31,7","30,8","25,7"
132,"19,1",13,"18,5","25,9","29,5","30,3",29,"23,7"
133,17,"11,5","14,6","23,9","28,1","28,9","28,6","23,5"
134,"14,8","14,1",14,"23,1","25,9","27,3","26,8","21,3"
135,"16,8","15,4",16,"21,7","24,2","26,2","25,6","21,3"
136,"18,4","16,9","17,1","18,7","20,3","22,7","22,1","19,9"
137,18,"15,7","18,9","21,4","25,3","24,4","24,4",22
138,"17,5","17,3","16,9","22,4","26,8","22,4","23,9","18,7"
139,"17,9","15,7","17,5","20,7","24,4","26,1","26,4","21,1"
140,"12,7","16,3","16,8","19,3","19,5","20,7","21,7","19,1"
141,"19,2","18,6","18,1","23,1","21,5","23,9","21,2","18,1"
142,"20,2","23,7","20,6","23,6","25,7","26,7","26,8","21,3"
143,26,"17,4","22,6","21,5","23,7","26,7",22,"22,4"
144,20,19,"21,4","28,5","32,7","34,2","32,6",28
145,"21,9","18,9","21,3","25,6","33,4","25,2","30,2","26,3"
146,"20,8","19,2","21,8","29,4","33,3","34,2","33,2","27,8"
147,"21,8","18,3","21,3",29,32,"33,4","32,4","26,6"
148,"19,7","15,6","20,3","28,1","33,3","33,9","32,8",27
149,"17,7","14,3","18,2","28,8","32,1","33,1","31,9","24,8"
150,"18,3","12,4","17,8","27,1","30,1","31,5","29,4","22,3"
151,14,"12,6","16,7","24,9",28,"29,5","29,7","23,3"
152,"14,4","11,9","15,1",23,"25,4",27,"26,5","21,3"
153,"15,9",16,15,"21,5","23,8","24,5","23,8","20,3"
154,"17,6","14,9","16,7","21,9","24,3","25,2","24,8","19,5"
155,"15,9","15,1","17,4","23,5","26,4",18,"20,8","19,2"
156,"16,6","13,5","16,1","23,4","26,6","18,6","17,4","17,3"
157,"15,7","13,8","16,9","25,9","23,1","28,3","25,2","21,3"
158,"14,8","14,5","15,5","17,6","21,4","23,6",23,"20,1"
159,"14,4","13,7","14,7","18,4","22,6","23,9","20,6",17
160,"14,3","12,6","13,4","19,5",21,"19,8","22,3","16,5"
161,"12,6","13,1","13,8","18,9","15,5","21,3","17,9","16,2"
162,"15,5","10,4","13,5","18,5","22,1","23,6",18,"15,5"
163,"13,1","10,8",12,"20,8","21,9",23,"23,6","19,4"
164,"10,9","13,8","13,4","20,3","21,4",22,"19,8","16,6"
165,"14,4","13,7","14,3","16,2","17,7","17,4","18,5","14,9"
